Running for 999999.0 seconds (999999 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:36:15  58.1   0.5   0.3  41.2   0.0   11  46439  18953    3    3    3 176.46 
16:36:16  57.6   0.4   0.3  41.7   0.0   13  46848  19050    3    3    3 176.66 
16:36:17  57.8   0.4   0.3  41.6   0.0   13  45391  18622    3    3    3 176.14 
16:36:18  57.9   0.5   0.3  41.0   0.4   14  46426  19579    3    3    3 175.87 
16:36:19  57.6   0.4   0.3  41.8   0.0   13  47412  18967    3    3    3 175.30 
16:36:20  58.2   0.6   0.3  40.9   0.0   13  45656  19048    3    3    3 176.23 
16:36:21  57.3   0.4   0.4  42.0   0.0   13  47396  19520    3    3    3 176.29 
16:36:22  57.4   0.4   0.3  42.0   0.0   13  46757  16802    3    3    3 165.81 
16:36:23  57.6   0.5   0.3  41.0   0.7   14  46046  14406    3    3    3 158.11 
16:36:24  57.7   0.3   0.3  41.7   0.0   13  46876  13947    3    3    3 157.81 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:36:25  57.0   0.5   0.3  42.3   0.0   12  44378  14129    3    3    3  97.71 
16:36:26  57.0   0.4   0.4  42.3   0.0    9  45436  14282    3    3    3 128.79 
16:36:27  57.7   0.4   0.3  41.7   0.0   13  47672  13942    3    3    3 184.77 
16:36:28  57.6   0.5   0.3  41.1   0.6   13  46974  16367    3    3    3 187.10 
16:36:29  58.0   0.5   0.2  41.3   0.0   13  45606  21832    3    3    3 188.64 
16:36:30  57.9   0.4   0.2  41.5   0.0   13  46179  19070    3    3    3 182.95 
16:36:31  57.7   0.5   0.3  41.6   0.0   13  47007  19125    3    3    3 179.78 
16:36:32  57.7   0.4   0.3  41.6   0.0   13  45787  19138    3    3    3 177.05 
16:36:33  57.9   0.4   0.2  41.1   0.5   13  45834  20020    3    3    3 177.70 
16:36:34  57.6   0.3   0.3  40.6   1.3   13  47942  20240    7    6    7 178.03 
16:36:35  58.1   0.5   0.3  41.1   0.0   13  45093  19989    3    3    3 172.99 
16:36:36  57.6   0.5   0.4  41.5   0.0   13  45965  19741    3    3    3 176.52 
16:36:37  57.7   0.4   0.4  41.6   0.0   13  46246  20242    4    3    4 175.58 
16:36:38  57.9   0.3   0.3  41.5   0.0   13  46501  19747    3    3    3 175.02 
16:36:39  57.6   0.5   0.2  41.3   0.4   12  46853  19138    3    3    3 178.62 
16:36:40  57.6   0.4   0.3  41.7   0.0   13  45974  18670    3    3    3 176.94 
16:36:41  57.7   0.4   0.3  41.6   0.1   13  46865  19725    3    3    3 174.64 
16:36:42  57.8   0.3   0.2  41.7   0.0   13  45599  19251    3    3    3 174.22 
16:36:43  57.9   0.4   0.3  41.4   0.0   13  45737  17734    3    3    3 165.02 
16:36:44  57.2   0.5   0.3  38.3   3.8   13  46477  13996    3    3    3 157.15 
16:36:45  58.0   0.4   0.4  40.8   0.4   13  47375  14120    4    3    3 159.53 
16:36:46  57.1   0.5   0.4  42.1   0.0   13  45178  14333    3    3    3 100.36 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:36:47  57.2   0.4   0.4  42.0   0.0   13  44812  13839    3    3    3 126.95 
16:36:48  57.4   0.5   0.3  41.8   0.0   13  46618  14099    3    3    3 185.25 
16:36:49  58.2   0.4   0.3  40.9   0.2   13  46507  18108    3    3    3 187.41 
16:36:50  58.3   0.3   0.3  41.1   0.0   13  42865  18620    3    3    3 188.66 
16:36:51  57.7   0.4   0.3  41.6   0.0    8  47831  18454    3    3    3 181.89 
16:36:52  57.7   0.5   0.3  41.6   0.0   13  46043  18639    3    3    3 179.28 
16:36:53  57.7   0.5   0.2  41.6   0.0    9  46719  20011    3    3    3 178.92 
16:36:54  57.9   0.2   0.3  39.6   2.0   13  44832  18383    3    3    3 177.18 
16:36:55  57.6   0.3   0.3  41.8   0.0   13  46016  19109    3    3    3 177.46 
16:36:56  57.9   0.4   0.4  41.4   0.0   13  46270  19358    3    3    3 174.82 
16:36:57  57.5   0.3   0.4  41.8   0.0   13  46744  18732    3    3    3 177.59 
16:36:58  57.8   0.4   0.3  41.6   0.0   13  46118  18703    3    3    3 175.74 
16:36:59  57.6   0.3   0.3  41.2   0.7   13  46658  18643    3    3    3 175.93 
16:37:00  57.9   0.4   0.3  41.5   0.0   13  45581  20126    3    3    4 173.72 
16:37:01  57.7   0.4   0.3  41.7   0.0   13  47054  19289    3    3    3 173.43 
16:37:02  57.5   0.3   0.4  41.8   0.0   13  46329  19372    3    3    3 176.47 
16:37:03  57.4   0.4   0.4  41.8   0.0   13  45896  18872    3    3    3 176.56 
16:37:04  57.5   0.3   0.4  41.8   0.1    8  46733  18034    3    3    3 166.65 
16:37:05  57.4   0.4   0.3  41.9   0.0   13  47209  14112    3    3    3 158.07 
16:37:06  57.1   0.4   0.4  42.1   0.0    9  46809  13895    3    3    3 157.56 
16:37:07  56.7   0.2   0.4  42.8   0.0   13  44868  14271    4    3    4 101.05 
16:37:08  56.8   0.3   0.4  42.4   0.0   13  45788  14211    3    3    3 124.24 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:37:09  57.8   0.4   0.4  40.0   1.5   13  47040  13991    3    3    3 186.36 
16:37:10  58.1   0.4   0.3  40.3   0.9   13  45253  19294    3    3    3 187.49 
16:37:11  57.5   0.3   0.3  42.0   0.0   13  46417  20046    3    3    3 188.16 
16:37:12  57.5   0.3   0.3  41.9   0.0   12  46846  19050    3    3    3 181.80 
16:37:13  57.5   0.3   0.4  41.4   0.5   13  46893  18861    3    3    3 178.19 
16:37:14  57.5   0.4   0.4  41.7   0.0   13  46067  19228    3    3    3 177.25 
16:37:15  57.9   0.4   0.2  41.6   0.0   13  46598  18549    3    3    3 176.07 
16:37:16  58.0   0.3   0.3  41.5   0.0   11  46580  19148    3    3    3 177.53 
16:37:17  57.9   0.4   0.3  41.4   0.0    8  45965  18487    3    3    3 175.29 
16:37:18  57.6   0.4   0.3  41.3   0.5   13  46608  18258    3    3    3 175.00 
16:37:19  57.5   0.3   0.3  41.3   0.7   13  46896  19034    3    3    3 173.15 
16:37:20  58.2   0.3   0.3  41.3   0.0   13  44470  17845    3    3    3 176.67 
16:37:21  57.6   0.4   0.3  41.7   0.0   14  46295  18956    3    3    3 176.92 
16:37:22  57.5   0.3   0.4  41.9   0.0   13  46560  18837    3    3    3 175.32 
16:37:23  57.7   0.4   0.3  41.6   0.1   13  45836  17717    3    3    3 176.24 
16:37:24  57.4   0.3   0.4  41.6   0.5   13  47371  18675    3    3    3 174.72 
16:37:25  57.5   0.3   0.3  42.0   0.0   13  45372  17845    3    3    3 164.89 
16:37:26  52.0   0.4   1.3  46.4   0.0    8  45157  13863    3    3    3 154.75 
16:37:27  33.6   0.9   3.3  61.2   1.0   13  40442  11434   38   14   31 143.19 
16:37:28  56.5   0.2   0.4  42.9   0.0    9  39561  14485    3    3    3 112.54 
16:37:29  56.9   0.1   0.3  42.8   0.0   13  35141  14062    3    3    3  98.76 
16:37:30  57.1   0.3   0.2  42.5   0.0   13  41972  13879    3    3    3 145.82 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:37:31  57.4   0.5   0.3  41.9   0.0   13  46866  13867    3    3    3 132.01 
16:37:32  57.5   0.4   0.3  41.6   0.2    8  47015  14016    3    3    3 132.55 
16:37:33  57.9   0.4   0.3  41.4   0.0   13  46080  14156    3    3    3 131.32 
16:37:34  57.2   0.4   0.3  42.1   0.0   13  47295  14138    7    6    7 130.96 
16:37:35  57.8   0.4   0.3  41.5   0.0   13  45239  13953    3    3    3 131.79 
16:37:36  57.2   0.3   0.3  42.2   0.0   14  46461  13913    3    3    3 131.31 
16:37:37  57.5   0.4   0.4  41.8   0.0    7  47289  14100    4    3   10 131.62 
16:37:38  57.3   0.5   0.3  40.1   2.0   15  46019  13877    3    3    3 130.93 
16:37:39  57.5   0.5   0.3  41.8   0.0    8  47031  14202    3    3    3 167.68 
16:37:40  58.0   0.4   0.3  41.3   0.0   13  46085  14247    3    3    3 169.98 
16:37:41  57.4   0.4   0.4  41.8   0.0   13  46713  13940    3    3    3 154.40 
16:37:42  57.8   0.5   0.4  41.4   0.0   13  46930  14024    3    3    4 155.62 
16:37:43  57.1   0.4   0.3  41.5   0.8   13  45966  14204    3    3    3 104.58 
16:37:44  57.0   0.4   0.4  42.3   0.0   13  45727  14147    3    3    3 117.22 
16:37:45  57.6   0.4   0.3  41.7   0.0   13  47355  13752    3    3    3 182.65 
16:37:46  57.5   0.4   0.3  41.9   0.0    9  47084  13790    3    3    3 184.60 
16:37:47  57.6   0.5   0.3  41.7   0.0   12  47020  14267    3    3    3 185.94 
16:37:48  57.7   0.3   0.3  40.8   0.8   13  46013  15515    3    3    3 186.26 
16:37:49  57.4   0.5   0.3  41.8   0.0   13  46510  22441    3    3    3 188.96 
16:37:50  57.5   0.4   0.2  41.9   0.0   13  46806  18647    3    3    3 188.47 
16:37:51  57.8   0.5   0.3  41.4   0.0   13  45728  18598    3    3    3 185.78 
16:37:52  57.5   0.3   0.4  41.8   0.0   13  47662  19245    3    3    3 180.58 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:37:53  57.5   0.5   0.3  41.2   0.5    8  47097  20282    3    3    3 180.72 
16:37:54  57.7   0.4   0.3  41.6   0.0   13  46035  19079    3    3    3 179.70 
16:37:55  57.4   0.4   0.3  41.9   0.0   13  46581  19348    3    3    3 180.01 
16:37:56  57.5   0.4   0.4  41.8   0.0   14  46412  20064    3    3    3 177.36 
16:37:57  57.8   0.4   0.3  41.6   0.0   13  45990  19461    3    3    3 179.17 
16:37:58  57.5   0.4   0.3  41.6   0.2   13  46100  20021    3    3    3 178.21 
16:37:59  57.6   0.6   0.3  41.6   0.0   13  46739  19583    3    3    3 177.51 
16:38:00  58.0   0.4   0.3  41.3   0.0   14  46107  19108    3    3    3 176.44 
16:38:01  57.8   0.3   0.3  41.6   0.0    9  47082  17110    3    3    3 167.08 
16:38:02  57.5   0.5   0.3  41.7   0.0   13  46441  14127    3    3    3 157.87 
16:38:03  57.5   0.4   0.3  41.0   0.9   13  47070  14050    3    3    3 156.39 
16:38:04  56.9   0.5   0.4  42.3   0.0   13  45867  14293    3    3    3 107.23 
16:38:05  56.6   0.3   0.4  42.7   0.0   13  46558  13937    3    3    3 116.34 
16:38:06  57.8   0.5   0.3  41.5   0.0   13  45663  14040    3    3    3 183.83 
16:38:07  57.0   0.5   0.5  42.1   0.0   13  46649  14468    4    3    4 185.72 
16:38:08  57.9   0.5   0.3  40.9   0.5   13  45010  18976    3    3    3 186.82 
16:38:09  57.8   0.3   0.2  41.2   0.5    9  47466  19412    3    3    3 185.82 
16:38:10  57.7   0.5   0.3  41.5   0.0   13  46471  18490    3    3    3 182.43 
16:38:11  57.7   0.4   0.2  41.7   0.0   13  45948  19154    3    3    3 181.25 
16:38:12  57.4   0.3   0.4  41.9   0.0   13  47073  19178    3    3    3 178.31 
16:38:13  57.7   0.5   0.2  38.5   3.2   14  46639  19042    3    3    3 179.22 
16:38:14  57.7   0.3   0.3  41.2   0.5   13  45754  18912    3    3    3 175.90 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:38:15  57.7   0.5   0.4  41.4   0.0    8  47491  19470    3    3    3 176.20 
16:38:16  57.6   0.4   0.3  41.7   0.0   13  46616  19124    3    3    3 176.42 
16:38:17  57.4   0.4   0.3  42.0   0.0   13  46032  19806    3    3    3 175.10 
16:38:18  57.5   0.4   0.3  41.9   0.0   10  46209  19569    3    3    3 174.56 
16:38:19  57.8   0.4   0.3  39.0   2.5   13  46564  20242    3    3    3 175.07 
16:38:20  57.8   0.4   0.3  41.5   0.0   13  47573  19555    3    3    3 178.06 
16:38:21  57.8   0.4   0.4  41.4   0.0   13  45138  19076    3    3    3 175.42 
16:38:22  57.5   0.4   0.3  41.8   0.0   13  46295  18575    3    3    3 166.77 
16:38:23  57.2   0.4   0.3  42.1   0.0   13  47020  14123    3    3    3 157.80 
16:38:24  57.5   0.4   0.2  39.8   2.1   14  45496  14098    3    3    3 157.05 
16:38:25  56.8   0.4   0.4  42.4   0.0   13  45651  14012    3    3    3 109.93 
16:38:26  38.6   0.9   2.2  57.3   1.1   10  38354  11294   31   14   28  73.80 
16:38:27  42.3   0.4   2.7  54.6   0.0   13  43834  11446    9    3    5 126.59 
16:38:28  57.5   0.3   0.3  42.0   0.0   13  42966  14001    3    3    3 160.89 
16:38:29  57.3   0.4   0.4  42.0   0.0   13  47339  14322    3    3    3 128.98 
16:38:30  57.4   0.5   0.4  41.8   0.0   13  46252  14036    3    3    3 134.20 
16:38:31  57.7   0.4   0.4  41.5   0.0    9  46789  14093    3    3    3 129.44 
16:38:32  57.8   0.4   0.2  41.6   0.1   13  45676  14066    3    3    3 166.09 
16:38:33  57.6   0.5   0.3  41.6   0.0   13  47098  13803    3    3    3 171.03 
16:38:34  58.1   0.5   0.3  41.1   0.0   13  42813  13983    7    6    7 157.88 
16:38:35  57.2   0.3   0.3  42.2   0.0    9  46780  14097    2    2    2 153.50 
16:38:36  56.7   0.4   0.4  42.5   0.0   13  46703  13959    1    1    7 110.52 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:38:37  56.9   0.4   0.5  40.8   1.4   13  45379  14260    4    3    4 110.73 
16:38:38  57.8   0.4   0.3  41.5   0.0   11  45799  13763    3    3    3 183.01 
16:38:39  57.8   0.5   0.3  41.5   0.0    8  46396  13943    3    3    3 184.54 
16:38:40  57.6   0.4   0.4  41.7   0.0   13  46881  14007    3    3    3 184.54 
16:38:41  57.6   0.4   0.3  41.8   0.0   13  47083  16876    3    3    3 186.24 
16:38:42  57.7   0.5   0.3  41.3   0.2   13  46030  20837    3    3    4 188.07 
16:38:43  57.7   0.4   0.3  41.7   0.0   13  47765  18969    3    3    3 187.76 
16:38:44  57.3   0.4   0.3  42.0   0.0   13  46537  18939    3    3    3 183.95 
16:38:45  58.1   0.4   0.3  41.3   0.0   13  44579  18645    3    3    3 180.18 
16:38:46  57.7   0.5   0.4  41.5   0.0   14  47162  19889    3    3    3 180.60 
16:38:47  57.8   0.4   0.4  41.5   0.0   13  46581  19408    3    3    3 179.64 
16:38:48  57.5   0.4   0.3  41.8   0.1   13  46831  19434    3    3    3 181.82 
16:38:49  57.8   0.4   0.3  41.4   0.2   13  46887  20472    4    3    3 177.27 
16:38:50  57.9   0.5   0.3  41.4   0.0   14  46029  19413    3    3    3 178.97 
16:38:51  58.1   0.4   0.3  41.2   0.0   13  45967  18980    3    3    3 177.80 
16:38:52  57.7   0.5   0.3  41.6   0.0   13  46924  19043    3    3    3 179.64 
16:38:53  58.2   0.4   0.2  41.3   0.0   13  43728  20177    3    3    3 177.46 
16:38:54  57.7   0.5   0.4  41.4   0.0   12  46816  18102    3    3    3 168.97 
16:38:55  57.8   0.4   0.3  41.2   0.4   13  47215  14191    3    3    3 157.03 
16:38:56  57.3   0.4   0.3  42.0   0.0    8  46672  14108    3    3    3 156.79 
16:38:57  56.7   0.4   0.4  42.6   0.0   13  46063  14248    3    3    3 113.82 
16:38:58  57.1   0.4   0.4  42.1   0.0   14  44317  14049    3    3    3 109.06 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:38:59  57.4   0.5   0.4  41.3   0.5   13  47043  13983    3    3    3 184.58 
16:39:00  57.6   0.4   0.3  39.7   2.0   13  47084  14950    5    3    3 187.35 
16:39:01  57.5   0.5   0.3  41.2   0.6   14  46989  19785    3    3    5 186.74 
16:39:02  57.9   0.4   0.3  41.5   0.0   13  46050  18881    3    3    3 186.01 
16:39:03  57.7   0.5   0.3  41.6   0.0   12  46311  19581    3    3    3 181.22 
16:39:04  57.6   0.3   0.3  41.8   0.0   14  46515  19800    3    3    3 180.07 
16:39:05  58.1   0.5   0.3  41.2   0.1   13  46208  20127    3    3    4 178.17 
16:39:06  57.7   0.4   0.2  38.1   3.6   13  46972  20502    3    3    3 175.90 
16:39:07  57.7   0.6   0.3  41.4   0.0   13  45985  19925    4    3    4 178.57 
16:39:08  57.7   0.4   0.4  41.6   0.0   13  47360  20387    3    3    3 175.32 
16:39:09  57.7   0.4   0.2  41.7   0.0   13  46872  19393    3    3    3 174.84 
16:39:10  58.0   0.4   0.3  41.4   0.0   13  46068  19576    3    3    3 177.30 
16:39:11  57.6   0.5   0.3  40.8   0.8   13  46958  19252    3    3    3 175.52 
16:39:12  57.4   0.4   0.3  41.9   0.0   12  46570  20261    3    3    3 173.86 
16:39:13  57.9   0.4   0.2  41.6   0.0   13  45816  19224    3    3    3 175.21 
16:39:14  57.4   0.4   0.4  41.3   0.6   13  46543  20157    3    3    3 174.73 
16:39:15  57.6   0.5   0.3  41.6   0.0   13  46989  17265    3    3    3 168.83 
16:39:16  57.3   0.4   0.3  42.1   0.0   13  45690  13988    3    3    3 158.40 
16:39:17  57.5   0.3   0.4  41.9   0.0   13  46435  14189    3    3    3 157.97 
16:39:18  56.9   0.3   0.3  42.5   0.0   13  46862  14145    3    3    3 116.09 
16:39:19  57.1   0.3   0.3  39.6   2.6   13  43928  13996    3    3    3 106.22 
16:39:20  57.6   0.3   0.3  41.3   0.5   13  46782  14119    3    3    3 184.09 
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts
16:39:21  57.7   0.3   0.3  41.7   0.0   13  46443  15566    3    3    3 186.34 
16:39:22  57.9   0.4   0.3  41.5   0.0   13  46358  21068    3    3    3 189.29 
16:39:23  57.9   0.3   0.3  41.6   0.0   11  45605  19596    3    3    3 183.53 
